Product_type,Brand,Size,fabric,fabric_cost_per_kg/meter/hide,fabric_raw_cost,manufacturing,transportation,tax,brand_value,retailer_margin,selling_price
Modern Formal Shirt,Sanchez and Sons (mid_range),S,cotton,357,132.51,71.52,8.79,33.58,138.5,320.21,705.11
Formal Shirt,"Henderson, Lara and Caldwell Basics (budget)",M,cotton,143,48.25,32.12,3.02,7.95,18.81,56.79,166.94
Formal Shirt,Mcmillan & Co. (premium),M,cotton,774,862.88,486.49,45.79,690.5,973.3,3385.69,6444.64
Casual Formal Shirt,Sanders Inc Basics (budget),L,cotton,198,79.77,56.46,5.31,14.51,37.17,111.46,304.68
Formal Shirt,Francis & Co. (premium),XXL,cotton,635,1145.02,633.74,59.99,836.24,1190.45,3939.47,7804.9
Modern Formal Shirt,Riley-Scott Basics (budget),XXXL,cotton,187,121.06,79.45,8.54,20.1,38.05,154.92,422.11
Formal Shirt,Rivera Group (mid_range),M,cotton,397,189.37,134.19,10.72,132.43,172.73,596.54,1235.97
Contemporary Formal Shirt,"Olson, Sullivan and Estrada Basics (budget)",S,cotton,174,42.37,29.75,3.03,7.17,14.51,53.79,150.62
Formal Shirt,Figueroa & Co. (premium),XXXL,cotton,735,1591.39,1060.64,115.23,1405.68,1841.34,7105.4,13119.69
Formal Shirt,Francis Inc Basics (budget),M,cotton,151,52.91,35.84,2.9,9.29,23.07,71.04,195.05
Vintage Formal Shirt,Campbell Group Basics (budget),XXL,cotton,172,106.65,71.73,7.64,18.69,46.54,141.25,392.49
Formal Shirt,Mccoy-Villarreal Basics (budget),XXXL,cotton,177,116.46,72.08,8.88,19.08,41.07,143.13,400.7
Traditional Formal Shirt,Fletcher-Valdez Basics (budget),S,cotton,247,67.7,42.42,4.93,11.81,27.61,93.54,248.01
Formal Shirt,Collins LLC (mid_range),S,cotton,425,153.66,110.01,11.52,39.77,138.87,381.3,835.13
Formal Shirt,Joyce & Co. (premium),S,cotton,848,841.49,600.93,45.25,842.56,1090.45,4443.19,7863.86
Contemporary Formal Shirt,Pham-Montgomery Basics (budget),XXL,cotton,167,102.75,69.2,7.34,17.84,39.02,138.49,374.64
Formal Shirt,"Dickerson, Ward and Cruz Basics (budget)",XXL,cotton,171,91.56,53.5,5.21,13.76,31.5,93.47,289.01
Formal Shirt,"Vega, Malone and Crawford (mid_range)",M,cotton,308,165.08,85.89,11.57,39.34,141.49,382.86,826.23
Formal Shirt,Alvarado Couture (luxury),XXL,cotton,1248,4484.74,2994.9,237.28,7949.68,12124.37,46406.03,74196.99
Formal Shirt,Kelly LLC (mid_range),XXXL,cotton,467,512.22,271.55,30.82,338.88,604.85,1404.57,3162.89
Formal Shirt,"Johnson, Huff and Hernandez Basics (budget)",XL,cotton,163,72.7,41.83,4.6,12.35,34.33,93.62,259.43
Classic Formal Shirt,Walters LLC Basics (budget),XXL,cotton,236,143.06,78.14,8.07,21.44,54.39,145.16,450.26
Formal Shirt,"Torres, Christian and Collins Basics (budget)",XL,cotton,240,118.39,68.24,8.51,20.34,54.06,157.59,427.14
Formal Shirt,"Wilson, Ashley and Owens (mid_range)",M,cotton,547,249.35,161.86,14.81,153.95,193.26,663.65,1436.89
Formal Shirt,Stafford Couture (luxury),XXL,cotton,1520,4734.0,2618.6,332.59,7127.57,11500.25,40210.94,66523.95
Formal Shirt,Hardy & Co. (premium),M,cotton,620,740.6,445.02,48.65,653.75,1081.89,3131.75,6101.65
Formal Shirt,Mitchell & Co. (premium),M,cotton,667,804.89,457.86,58.4,618.97,759.43,3077.48,5777.02
Formal Shirt,Garner Couture (luxury),S,cotton,1218,1951.09,1045.16,101.58,3045.57,4764.57,17517.35,28425.32
Vintage Formal Shirt,Smith Group (mid_range),XXL,cotton,506,443.35,231.45,26.15,317.04,479.56,1461.49,2959.04
Casual Formal Shirt,Harper-Gonzalez Basics (budget),S,cotton,210,52.14,29.31,3.14,8.97,22.81,72.03,188.41
Formal Formal Shirt,Reynolds and Sons (mid_range),L,cotton,313,172.49,102.25,8.64,122.46,195.87,541.25,1142.95
Formal Shirt,"Holmes, Green and Burch Basics (budget)",XXXL,cotton,230,151.12,76.14,11.56,25.06,72.65,189.72,526.24
Formal Shirt,Melton & Co. (premium),XXL,cotton,820,1505.15,883.37,111.21,1500.36,2131.93,7871.34,14003.36
Formal Shirt,"Dixon, Roberts and Decker Basics (budget)",M,cotton,185,65.12,44.97,4.47,11.47,21.55,93.37,240.95
Classic Formal Shirt,Henson & Co. (premium),M,cotton,691,844.31,500.51,62.54,830.05,1197.6,4312.17,7747.17
Formal Shirt,Lambert-Reeves Basics (budget),XXXL,cotton,144,102.88,58.31,6.56,17.0,37.15,135.04,356.94
Formal Shirt,"Sawyer, Alexander and Pollard Basics (budget)",S,cotton,191,49.18,34.69,2.87,8.52,21.07,62.53,178.86
Formal Shirt,Hurst Couture (luxury),XXL,cotton,1028,3226.31,2259.31,254.48,5079.91,7974.31,28618.17,47412.49
Contemporary Formal Shirt,Mendez Group (mid_range),XXXL,cotton,455,499.07,272.82,27.8,292.52,385.37,1252.58,2730.16
Formal Shirt,Brady Inc (mid_range),XXL,cotton,540,481.21,310.71,25.07,324.08,520.73,1362.96,3024.76
Traditional Formal Shirt,"Myers, Jacobson and Parker Basics (budget)",S,cotton,204,52.33,31.05,3.08,8.2,17.03,60.44,172.12
Modern Formal Shirt,Ayala Couture (luxury),XXXL,cotton,1630,6610.11,4002.05,390.77,11682.33,15826.3,70523.51,109035.07
Formal Shirt,Boyer-Morris (mid_range),L,cotton,413,256.5,160.61,20.21,185.7,286.77,823.42,1733.21
Formal Shirt,Lopez PLC Basics (budget),XXXL,cotton,182,111.47,77.86,6.61,18.92,51.42,130.97,397.24
Formal Shirt,"Smith, Turner and Camacho Basics (budget)",XL,cotton,238,101.58,61.07,5.67,17.02,44.62,127.53,357.49
Formal Shirt,Bowen-Manning Basics (budget),XXXL,cotton,236,168.68,118.65,9.54,30.7,77.73,239.44,644.74
Formal Shirt,"Howell, Castillo and Bell (mid_range)",XXL,cotton,517,406.17,218.89,26.78,258.62,418.14,1085.2,2413.8
Formal Shirt,Williams & Co. (premium),XL,cotton,858,1380.87,961.86,75.64,1299.37,1956.55,6453.14,12127.42
Formal Shirt,Garcia & Co. (premium),XXXL,cotton,866,2014.44,1127.88,143.84,1561.76,2096.42,7632.1,14576.46
Formal Shirt,Cummings & Co. (premium),S,cotton,718,654.46,350.94,40.87,525.95,718.94,2617.74,4908.9
Formal Shirt,"Pena, Anderson and Waller Basics (budget)",XL,cotton,238,112.93,75.27,8.24,17.93,42.47,119.74,376.59
Formal Formal Shirt,Solis and Sons Basics (budget),XL,cotton,193,90.76,61.06,6.98,15.15,36.09,108.08,318.12
Formal Shirt,"Chang, Maddox and Hunt (mid_range)",XL,cotton,473,350.84,235.74,27.22,263.37,435.17,1145.78,2458.14
Formal Shirt,Frye Couture (luxury),XXL,cotton,1027,3201.25,1956.31,177.52,5176.08,7888.57,29910.32,48310.03
Contemporary Formal Shirt,Wilson PLC (mid_range),L,cotton,371,233.82,157.78,12.27,146.13,177.63,636.27,1363.89
Formal Shirt,Simon Couture (luxury),L,cotton,1070,2712.44,1774.27,212.9,4036.82,6453.18,22487.41,37677.02
Formal Shirt,Beck Inc Basics (budget),M,cotton,154,51.99,29.25,3.8,8.3,17.34,63.62,174.3
Modern Formal Shirt,Lester & Co. (premium),S,cotton,759,652.88,334.93,45.91,586.61,962.93,2891.8,5475.06
Formal Shirt,Valenzuela & Co. (premium),S,cotton,724,621.93,424.36,42.3,557.21,604.91,2949.94,5200.66
Formal Shirt,Mejia & Co. (premium),L,cotton,789,1009.37,635.81,63.19,862.49,1205.31,4273.69,8049.86
Contemporary Formal Shirt,Myers-Bolton Basics (budget),XL,cotton,162,79.13,55.59,5.88,13.8,32.26,103.14,289.8
Formal Shirt,Taylor-Snyder (mid_range),XXXL,cotton,382,408.87,273.55,31.26,265.49,356.51,1142.2,2477.87
